year,week,home_conference,avg_chaos_score
2018.0,1,ACC,5.958760477701303
2018.0,1,Big10,6.981003287948367
2018.0,1,Big12,6.37228192627269
2018.0,1,Pac12,8.372825253685608
2018.0,1,SEC,5.881549745876636
2018.0,2,ACC,6.300349426595885
2018.0,2,Big10,7.438585640458191
2018.0,2,Big12,6.438128289013491
2018.0,2,Pac12,6.3565435497829945
2018.0,2,SEC,6.851847265871396
2018.0,3,ACC,6.698694501469794
2018.0,3,Big10,6.687320515255419
2018.0,3,Big12,6.803937202229756
2018.0,3,Pac12,5.484676996583374
2018.0,3,SEC,6.861165378383827
2018.0,4,ACC,6.746792134103741
2018.0,4,Big10,6.079816999747287
2018.0,4,Big12,6.52387519917572
2018.0,4,Pac12,7.5236684227519754
2018.0,4,SEC,5.92962060044397
2018.0,5,ACC,7.29583927850534
2018.0,5,Big10,7.9897945100061465
2018.0,5,Big12,5.012288399317745
2018.0,5,Pac12,6.916139227946791
2018.0,5,SEC,6.184417725923435
2018.0,6,ACC,6.910654140295779
2018.0,6,Big10,7.161812246965256
2018.0,6,Big12,6.618125841417282
2018.0,6,Pac12,6.571915650849929
2018.0,6,SEC,6.8874279570831485
2018.0,7,ACC,6.70632395025277
2018.0,7,Big10,7.283275275450555
2018.0,7,Big12,8.075517816272777
2018.0,7,Pac12,6.224730219669405
2018.0,7,SEC,7.392551916225301
2018.0,8,ACC,6.823996183953788
2018.0,8,Big10,6.460378211699192
2018.0,8,Big12,6.93915974395845
2018.0,8,Pac12,7.2331153906509975
2018.0,8,SEC,5.662002628831272
2018.0,9,ACC,6.421518564479415
2018.0,9,Big10,7.429215752443376
2018.0,9,Big12,6.696632169742978
2018.0,9,Pac12,6.870027645443488
2018.0,9,SEC,6.628830228406282
2018.0,10,ACC,6.882653945240382
2018.0,10,Big10,5.931391478131447
2018.0,10,Big12,7.817636550897627
2018.0,10,Pac12,6.005788446329464
2018.0,10,SEC,7.756003179119484
2018.0,11,ACC,6.771919869934689
2018.0,11,Big10,6.755884580141421
2018.0,11,Big12,8.07742642257819
2018.0,11,Pac12,6.992473033525018
2018.0,11,SEC,7.360962861415052
2018.0,12,ACC,7.943515287195523
2018.0,12,Big10,6.053525597468763
2018.0,12,Big12,7.0473102948531166
2018.0,12,Pac12,6.551577238106409
2018.0,12,SEC,6.287862390582337
2018.0,13,ACC,7.014139803188201
2018.0,13,Big10,6.074823936064596
2018.0,13,Big12,7.846415677929437
2018.0,13,Pac12,7.147150706428092
2018.0,13,SEC,6.548115528693962
