Year,Week_Index,Conference,Mentions_conf,Sentiment_conf,Conference_Opponent,avg_chaos_score
2020,6,Big10,5849,63,,
2020,7,Big10,7214,47,,
2020,8,Big10,20516,50,Big10,2.99242966436
2020,9,Big10,15554,-11,Big10,2.444299244203333
2020,10,Big10,10851,-8,Big10,2.4099449196883334
2020,11,Big10,12049,-31,Big10,1.89505812266
2020,12,Big10,11880,17,Big10,2.7135577910149995
2020,13,Big10,11206,-2,Big10,3.2368200423079996
2020,1,Big12,7116,31,Pac12,2.8233830091899996
2020,1,Big12,7116,31,SEC,2.479237778445
2020,2,Big12,11142,62,,
2020,3,Big12,8961,51,,
2020,4,Big12,10011,18,Big12,2.1257616808399997
2020,5,Big12,10334,27,Big12,3.619307376154
2020,6,Big12,9712,11,Big12,2.775423525426667
2020,7,Big12,7588,19,Big12,5.231118724149999
2020,8,Big12,7332,27,Big12,2.9607517620539996
2020,9,Big12,8876,10,Big12,2.9406812937759996
2020,10,Big12,8038,65,Big12,2.6230945155920002
2020,11,Big12,5175,28,Big12,2.8799546045049995
2020,12,Big12,6110,67,Big12,3.5018354711699997
2020,13,Big12,7536,-5,Big12,3.0627174872675003
2020,0,Pac12,4001,77,,
2020,1,Pac12,4580,56,Big12,2.3459689829399997
2020,2,Pac12,13094,61,,
2020,3,Pac12,7580,50,,
2020,4,Pac12,7186,58,,
2020,5,Pac12,7294,59,,
2020,6,Pac12,8946,19,,
2020,7,Pac12,7372,42,,
2020,8,Pac12,7821,54,,
2020,9,Pac12,7848,46,,
2020,10,Pac12,7947,-9,Pac12,2.7639722909374997
2020,11,Pac12,8735,43,Pac12,3.496860601484
2020,12,Pac12,11407,49,Pac12,2.3394463747875003
2020,13,Pac12,5992,39,Pac12,3.332935275815
2020,1,SEC,18852,77,ACC,2.5562041563099998
2020,1,SEC,18852,77,Big10,3.686210319056666
2020,2,SEC,7988,40,,
2020,3,SEC,10942,4,,
2020,4,SEC,20616,53,SEC,3.0363207735728572
2020,5,SEC,11677,47,SEC,2.1611143728657143
2020,6,SEC,11153,19,SEC,2.7569100007671428
