"","game_id","home","away","lead_change_count","explosive_play_delta","win_prob_volatility"
"4354",401425457,"Weber State","Sacramento State",10,2,0.198736269191411
"4355",401425458,"Portland State","Sacramento State",0,3,0.157070954299469
"4356",401425470,"Tennessee State","UT Martin",2,0,0.102658988214664
"4357",401425510,"East Tennessee State","Mars Hill",0,2,0.144129920957905
"4358",401425513,"Delaware State","Lincoln (PA)",4,4,0.165811405800896
"4359",401425514,"Delaware State","Virginia University Of Lynchburg",11,2,0.233748976740281
"4360",401425516,"Howard","Delaware State",12,0,0.227442248716309
"4361",401425518,"Delaware State","Campbell",2,2,0.150111723099145
"4362",401425519,"Southern Illinois","Western Illinois",0,3,0.114770283766538
"4363",401425520,"Southern Illinois","Northern Iowa",5,1,0.181836215019597
"4364",401426252,"Howard","Morehouse College",4,6,0.207326733659297
"4365",401426254,"Howard","South Carolina State",2,3,0.222384215334099
"4366",401426255,"Murray State","Eastern Illinois",0,1,0.214338696692881
"4367",401426257,"Eastern Illinois","Tennessee Tech",1,5,0.218066478730081
"4368",401426330,"Old Dominion","Virginia Tech",4,7,0.149833896079422
"4369",401426332,"Coastal Carolina","Gardner-Webb",4,3,0.15375383269139
"4370",401426333,"App State","Troy",3,2,0.169234008385803
"4371",401426334,"Georgia State","Coastal Carolina",0,5,0.0641660173188672
"4372",401426335,"Old Dominion","Arkansas State",3,2,0.251429694748197
"4373",401426336,"UL Monroe","Louisiana",1,3,0.265979928987088
"4374",401426337,"Coastal Carolina","Georgia Southern",3,3,0.175275535697893
"4375",401426338,"James Madison","Texas State",0,1,0.159744913782687
"4376",401426339,"Marshall","Gardner-Webb",0,4,0.132539478353648
"4377",401426340,"Arkansas State","UL Monroe",2,2,0.204368183348903
"4378",401426341,"Louisiana","South Alabama",0,2,0.26044446324235
"4379",401426342,"Georgia State","Georgia Southern",0,3,0.267283308070382
"4380",401426343,"Arkansas State","James Madison",1,8,0.170439724464416
"4381",401426344,"UL Monroe","Coastal Carolina",0,2,0.141099087047294
"4382",401426345,"Texas State","App State",0,3,0.146013865183042
"4383",401426346,"Troy","Southern Miss",2,6,0.215142882917183
"4384",401426347,"Marshall","Louisiana",2,4,0.208411608107247
"4385",401426348,"Coastal Carolina","Old Dominion",0,2,0.14087937288881
"4386",401426349,"Georgia Southern","James Madison",4,7,0.265651757073051
"4387",401426350,"South Alabama","UL Monroe",3,11,0.24787403580611
"4388",401426351,"Southern Miss","Arkansas State",1,3,0.146189898420739
"4389",401426352,"Troy","Texas State",2,5,0.191114376265714
"4390",401426353,"App State","Georgia State",0,0,0.374734386850546
"4391",401426354,"South Alabama","Troy",0,3,0.131590852445412
"4392",401426355,"James Madison","Marshall",2,1,0.29603449630056
"4393",401426356,"Old Dominion","Georgia Southern",1,0,0.164304463052734
"4394",401426357,"Louisiana","Arkansas State",0,4,0.17080696922411
"4395",401426358,"Texas State","Southern Miss",2,2,0.133607398932986
"4396",401426359,"Southern Miss","Louisiana",0,7,0.141240849619878
"4397",401426360,"App State","Robert Morris",0,13,0.146494158334579
"4398",401426361,"Georgia State","Old Dominion",0,1,0.25151909883333
"4399",401426362,"Marshall","Coastal Carolina",0,5,0.342605514606414
"4400",401426363,"Arkansas State","South Alabama",0,5,0.0883021445111911
"4401",401426364,"Coastal Carolina","App State",0,3,0.125445112205424
"4402",401426365,"Georgia Southern","South Alabama",0,6,0.227707094962886
"4403",401426366,"Old Dominion","Marshall",0,5,0.165398352650969
"4404",401426367,"Louisiana","Troy",0,2,0.223363473711383
"4405",401426368,"UL Monroe","Texas State",1,2,0.177657886201732
"4406",401426369,"Southern Miss","Georgia State",0,2,0.156050576524863
"4407",401426370,"Louisiana","Georgia Southern",0,3,0.134644475371204
"4408",401426371,"Coastal Carolina","Southern Miss",1,4,0.214971438010122
"4409",401426372,"Georgia State","UL Monroe",1,1,0.1784400640793
"4410",401426373,"Marshall","App State",0,3,0.122214855048667
"4411",401426374,"Old Dominion","James Madison",0,4,0.127369724585843
"4412",401426375,"South Alabama","Texas State",0,4,0.0827625544727626
"4413",401426376,"App State","Old Dominion",0,3,0.165706837713478
"4414",401426377,"Georgia Southern","Marshall",0,3,0.132162288734608
"4415",401426378,"James Madison","Georgia State",2,6,0.302748011717358
"4416",401426379,"Southern Miss","South Alabama",3,4,0.183359475305631
"4417",401426380,"Texas State","Arkansas State",1,0,0.178923737829501
"4418",401426381,"Troy","UL Monroe",0,2,0.172999526280241
"4419",401426382,"Georgia Southern","App State",7,7,0.138046580139429
"4420",401426383,"James Madison","Coastal Carolina",2,13,0.251617460839798
"4421",401426384,"Arkansas State","Troy",5,2,0.235423259053528
"4422",401426385,"UL Monroe","Southern Miss",0,1,0.167033657337627
"4423",401426386,"Texas State","Louisiana",1,8,0.191531297564581
"4424",401426389,"South Alabama","Old Dominion",0,0,0.231114884039195
"4425",401426390,"Marshall","Georgia State",3,1,0.22681124929098
"4426",401426393,"Troy","Marshall",0,4,0.128930077201901
